Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
React: Building Styles with CSS Modules (2017),"React styles and CSS styles haven't always agreed in the use of inline styling. As React development has grown, developers have figured out more and more ways of smoothly integrating and maintaining a style with their code. Whether you need to style a React-based user interface or want to create dramatic animation, this course gives you the keys you need to build attractive and maintainable style using React and CSS modules.",Course,2018-07-06 07:05 UTC,N/A,false,N/A,
Nano Tips for Developing Magnetic Charisma with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out why charisma is such a valuable skill and how you can develop your own charisma with ease, exploring key insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.<br><br>Gather strategies to build authentic charisma to start creating better first impressions and new connections today. Get tips on energizing others with charismatic presence and magnetic communication. Along the way, Shadé shows you techniques for using eye contact, pauses, presentation starts, tension-building tools, simplified language, genuine care, and more.",Course,2022-08-20 05:02 UTC,N/A,false,N/A,
Machine Learning with Python: k-Means Clustering,"Clustering—an unsupervised machine learning approach used to group data based on similarity—is used for work in network analysis, market segmentation, search results grouping, medical imaging, and anomaly detection. K-means clustering is one of the most popular and easy to use clustering algorithms. In this course, Fred Nwanganga gives you an introductory look at k-means clustering—how it works, what it’s good for, when you should use it, how to choose the right number of clusters, its strengths and weaknesses, and more. Fred provides hands-on guidance on how to collect, explore, and transform data in preparation for segmenting data using k-means clustering, and gives a step-by-step guide on how to build such a model in Python.",Course,2022-07-22 14:16 UTC,N/A,false,N/A,
Tableau 10 Essential Training,"Tableau is the widely used data analytics and visualization tool that many consider indispensable for data-science-related work. Its drag-and-drop interface makes it easy to sort, compare, and analyze data from multiple sources, including Excel, SQL Server, and cloud-based data repositories. <em>Tableau 10: Essential Training</em> explains everything you need to know to analyze and display data using Tableau Desktop—and make better, more data-driven decisions for your company. After completing the course, you'll be able to install Tableau, connect to data sources, summarize data, and create, manipulate, and share data visualizations, including highlight tables, charts, scatter plots, histograms, maps, dashboards, and more.",Course,2018-07-06 07:05 UTC,N/A,false,N/A,
Python Data Analysis,"Data science is transforming the way that government and industry leaders look at both specific problems and the world at large. Curious about how data analysis actually works in practice? In this course, instructor Michele Vallisneri shows you how, explaining what it takes to get started with data science using Python.<br/><br/>Michele demonstrates how to set up your analysis environment and provides a refresher on the basics of working with data structures in Python. Then, he jumps into the big stuff: the power of arrays, indexing, and tables in NumPy and pandas—two popular third-party packages designed specifically for data analysis. He also walks through two sample big-data projects: using NumPy to identify and visualize weather patterns and using pandas to analyze the popularity of baby names over the last century. Challenges issued along the way help you practice what you've learned.<br/><br/>Note: This version of the course was updated to reflect recent changes in Python 3, NumPy, and pandas.",Course,2022-08-08 17:17 UTC,N/A,false,N/A,
Introduction to Data Science,"The world of data science is reshaping every business. There is no better time to learn it than now. In this Madecraft course, Python trainer and data scientist Lavanya Vijayan shares what data science is and how it differs from other information-focused disciplines. She then dives into the workflow—the life cycle of data science—and introduces the data scientist’s toolset, from programming languages and specialized libraries to productivity tools like Jupyter Notebooks. In the following chapters, Lavanya focuses on practical techniques such as exploratory data analysis, data cleaning, and data visualization. Finally, learn about sampling, testing, and classification. By the end of the course, you will have the knowledge you need to perform basic data analysis and reporting, and unlock opportunities to accelerate your career in this exciting field.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""25%"" width=""25%"">",Course,2022-08-26 15:54 UTC,2022-08-17 20:03 UTC,true,N/A,
Python: Working with Predictive Analytics,"Data can tell many stories: where it came from <i>and</i> where it’s going. Predictive analytics gives programmers a tool to tell stories about the future: to extract usable information and make accurate predictions. These predictions, in turn, allow business to make more informed, impactful decisions. Join Isil Berkun, data scientist, to explore predictive analytics with Python. Discover how to prepare data—fill in missing values, perform feature scaling, and more—and use prebuilt Python libraries to make and evaluate prediction models. She describes what models to use when, and explains the concepts in such a way that you can immediately apply them to your own work. By the end of the course, you’ll be able to leverage Python libraries like pandas and NumPy and choose the right prediction models for your projects.",Course,2022-08-08 17:17 UTC,N/A,false,N/A,
AWS Essential Training for Developers,"Modern companies need developers who can accomplish business objectives with Amazon Web Services (AWS) without over-engineering in-house solutions. But with AWS now listing over a hundred different service offerings, getting a holistic sense of the platform can seem daunting. In this course, Jeremy “JV” Villeneuve breaks down key AWS services, giving developers a high-level look at the different ways they can host applications within AWS, as well as how to decide which services will fit their use case. He introduces you to cloud computing by tying the concepts to real-world hardware, such as hard drives and network switches. Get the information you need to match product names to what each service does (as well as to the corresponding architecture icons), so you can explore them further.",Course,2022-05-30 17:41 UTC,N/A,false,N/A,
Stepping Up Your Webcam Video Presence,"Nearly everyone has a webcam, but many people don’t put the effort into enhancing their webcam video presence. But with just a few relatively easy and inexpensive tweaks, you can capture well-composed, well-lit shots with great audio using the humble webcam. In this course, senior staff instructor Ashley Kennedy shows you how to represent your best self in meetings, as well as presentations, trainings, vlogs, interviews, demos, Q&As, and other types of web videos. Learn basic strategies for optimizing your system and your webcam, staging and lighting your shot, capturing high-quality audio, scripting and rehearsing for big-stakes webcam presentations, and more.",Course,2022-08-19 14:37 UTC,N/A,false,N/A,
Linux: Bash Shell and Scripts,"Bash scripting can help you automate routine tasks and save valuable time, whether you're a Linux user, sys admin, or software developer. Kevin Dankwardt has written thousands of bash scripts, short and long. Here he teaches you how to read and write scripts, and provides a series of scripting challenges to help you test your new skills. Learn about the bash environment, local variables, functions, loops, case statements, string operations, and coprocesses. Plus, learn how to use the text processing utilities sed and AWK to read and edit data in text files. The topics covered in this course are vital for Linux administration, and required for many Linux certifications.",Course,2018-10-14 06:48 UTC,N/A,false,N/A,
Intermediate SQL for Data Scientists,"There is an increasing need for data scientists and analysts to understand relational data stores. Organizations have long used SQL databases to store transactional data as well as business intelligence related data. This course was designed for data scientists who need to work with SQL databases. Specifically, it was designed to help these professionals learn how to perform common data science tasks, including exploration and extraction of data within relational databases.<br><br>Instructor Dan Sullivan kicks off the course with a brief overview of SQL data manipulation and data definition commands. He then focuses on how to use SQL queries to prepare data for analysis; leverage statistical functions to better understand that data; and work with aggregates, window operations, and more.",Course,2022-06-27 19:23 UTC,N/A,false,N/A,
C#: Advanced Practices,"In this course, instructor Mika Dumont introduces you to C# advanced practices. Mika begins by defining LINQ and showing you how LINQ makes it easy to query any data source. She walks you through how LINQ composes queries written in multiple statements, or even multiple methods, into a single query operation. Mika covers how LINQ works with Entity Framework to query SQL data sources. She describes how async features make it easy to write code that describes what your code does. She goes into how the Task class helps you organize asynchronous algorithms in logical ways. She steps you through how to recover and process asynchronous error conditions from faulted tasks. Mika concludes by explaining the similarities and differences between asynchronous operations and multithreaded, how you can apply similar techniques in both contexts, and how asynchronous operations may be single-threaded.<br><br>This course was created by Microsoft.NET. We are pleased to host this training in our library.",Course,2022-01-15 18:29 UTC,N/A,false,N/A,
"PHP Tips, Tricks, and Techniques","Become a better PHP programmer, one tutorial at a time. The series brings you tips, tricks, and techniques to build your PHP skills. David Powers offers a new course to broaden your understanding of what PHP can do and to help you become a more productive developer. To follow along, you should have a thorough understanding of PHP basics, but if you're still a beginner, you can watch this series for a dose of inspiration, until you're ready to implement the techniques in your own projects.<br><br>

Note: The exercise files are free to all members. The code is commented to enhance your learning, but you will need database connectivity for some files to run as intended.",Course,2018-07-13 08:51 UTC,N/A,false,N/A,
Career Wellness Nano Tips with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>In this course, get some quick tips on how to better manage your work life and career. Check out some practical advice on workload prioritization, emotional self-regulation, and managing overwhelming work experiences. Also learn how to bring empathy to work, receive feedback with confidence, and even find out the real reason behind procrastination.",Course,2022-08-25 20:02 UTC,N/A,false,N/A,
React: Server-Side Rendering (2018),"Server-side rendering lets you optimize your applications to use client or server resources depending on network and device circumstances. Old device on a slow network? Render on the server.  New device, fast network? You should probably let the client do the work.  Some call the resulting architecture ""universal,"" others ""isomorphic,"" but the results are smooth. Learn about implementing server-side rendering, or SSR, in your React projects. Emmanuel Henri shows how to set up an SSR project with React and Next.js, add a centralized store with Redux, and configure custom routes with Express and Next.js. He wraps up the course with a discussion of code splitting, which can improve application performance.",Course,2020-04-21 06:34 UTC,N/A,false,N/A,
Learning PHP (2015),"PHP is the most popular server-side language used to build dynamic websites, and though it is not especially difficult to use, nonprogrammers often find it intimidating. This introductory workshop from David Powers is designed to change that by teaching you PHP through a series of clear, focused, easy-to-follow lessons. After briefly explaining what PHP is and how it integrates with HTML, David introduces the features of the language. He covers variables, conditional statements, calculations, loops, and functions, as well as server-side includes and error handing, in a series of hands-on exercises. He then moves to a larger project that involves building a script to validate and email user input from an online form. By following along, you'll come to understand the value of creating reusable code, the importance of PHP security, and how to deal with multiple-choice form fields.",Course,2020-06-02 08:25 UTC,N/A,false,N/A,
Learning Docker,"Docker is the next step beyond virtualization. A Docker image contains everything it needs to run, independent of the Linux server on which it lives: a copy of the operating system, a database, code, configuration files, dependencies, and so on. Images can also be packaged and shared with other Docker admins. Arthur Ulfeldt uses Docker to run complex systems with millions of users and hundreds of containers. Here, he shares his knowledge with you. He introduces the basics of Docker, including its containers, Dockerfiles (or base images), and capabilities for networking, data management, infrastructure optimization, and more. Watch and learn how to build your own containers, as well as how to network and link containers.",Course,2022-06-18 15:38 UTC,N/A,false,N/A,
Arduino: Prototyping,"For designers and product managers, the Arduino family of microcontrollers and easy-to-assemble components is a valuable tool for exploring and evaluating hardware product designs. Rapid, incremental prototypes can help improve outcomes and reduce cost and time in the design process. In this course, instructor Robert Gallup helps you go beyond the basics and learn what it takes to develop Arduino-based prototypes. Robert begins by providing an overview of the prototype development process, highlighting both best practices and potential pitfalls. He then steps through how to develop and refine a proof-of-concept prototype, introducing relevant concepts and techniques along the way. After this course, you'll be ready to tackle your own hardware prototyping using Arduino. <br>
Robert also includes several hands-on challenges with solutions to help you better understand the LCD, animation dynamics, and the final process of completing your prototype and modifying it in response to feedback.",Course,2022-07-21 20:37 UTC,N/A,false,N/A,
Learning LinkedIn (2021),"By harnessing the power of the LinkedIn platform, you can tap into an expansive network of professionals, companies, and groups in your industry and beyond. In this course, discover how to make the most of your LinkedIn account. Follow Oliver Schinkten as he explains how to build a stellar LinkedIn profile, and shares how to expand your network, look for new career opportunities, join groups, share updates, and contribute your own thought leadership. He goes over how to use Creator Mode and Cover Story, as well as how to add your preferred pronouns to your LinkedIn profile. Plus, Oliver explores privacy settings and account types. Upon wrapping up this course, you'll have the tools you need to grow your career by leveraging LinkedIn.",Course,2022-06-26 16:15 UTC,N/A,false,N/A,
Prepare for Your Data Science Interview,"If you’re looking for work as a junior data analyst, engineer, or scientist, this course gives you the best techniques to land jobs in data science. Instructor Ben Sullins explores a hiring manager’s mindset and shows you how to prepare a demo that you can bring to your job interview. Ben explains some best practices for being physically and mentally healthy and well-prepared for your interview. He covers what to bring to your interview, then goes over follow-up methods and steps you should take to negotiate what you want most from an offer. Ben’s methods give you the confidence and practice that you need to land a job in data science.
<br><br>
Note: This course was created by Ben Sullins and Free the Data Academy. We are pleased to host this training in our library.",Course,2022-08-28 16:37 UTC,N/A,false,N/A,
Bootstrap 3: Advanced Web Development,"Generate your own interactive website from scratch with Bootstrap, the mobile-friendly framework from Twitter, in this start-to-finish course with developer and author Ray Villalobos. First, you'll plan and prototype the interface with MindMaps and Balsamiq Mockups. Next, download Bootstrap and dive into organizing your site structure with its scaffolding feature—adding PHP includes to break your code into reusable modules and building in the core navigation. Ray then shows you how to build interactive carousels, modal features, and forms, and control these features with JavaScript. Finally, learn to style it all with LESS and prepare to publish the results online.",Course,2018-07-13 09:31 UTC,N/A,false,N/A,
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2022-09-07 21:50 UTC,N/A,false,N/A,
Python Data Structures and Algorithms,"Software developers know that efficient underlying architecture is essential to the technologies we use every day. Knowledge of data structures and the algorithms which they support helps developers choose the most suitable solution for a given context, making them better programmers who stand out to their company, clients, or prospective employers. In this course, leveraging the Python programming language, instructor Robin Andrews uses a combo of visual, theoretical, and hands-on programming approaches to explain concepts in a fun and accessible way. Robin explains some of the most important data structures such as stacks, queues, and priority queues, and how these are used by search algorithms such as depth-first search, breadth-first search, and the A-star (A*) algorithm. He shows how to trace the execution of algorithms. Along the way, he provides challenges that allow you to test your new skills.",Course,2022-08-29 17:34 UTC,N/A,false,N/A,
Dan Ariely on Making Decisions,"What happens in your brain when you make a decision? When should you use your intuition? How do you make a decision when the stakes are high, when someone will be negatively impacted, when there’s too much or too little information, or when you need to involve your whole team in the decision-making process? And how can you stop procrastinating making a decision? In this course, Dan Ariely—social scientist, beloved professor, and best-selling author of seven books—answers the most-pressing questions about decision-making, based on insights from his extensive research.",Course,2022-02-27 17:54 UTC,N/A,false,N/A,
Algorithmic Thinking with Python: Foundations,"The word “algorithm,” at one time the sole province of mathematics and computer science, has entered the modern vernacular because, for better or worse, algorithms have never been more important or more impactful in daily life. If you’re a developer, you need to be familiar with a wide range of algorithmic thinking in order to be able to solve new problems as they present themselves. If you’re already familiar with Python, becoming more versed in algorithmic thinking is a great way to increase your value as a developer. In this course, Robin Andrews explains how Python, because of its clarity and expressiveness, is the ideal tool for exploring algorithmic thinking. He shows you tools to help you understand the flow of algorithms, explains the brute force approach to solving algorithms, details the concepts of time and space complexity with regard to algorithm analysis, the decrease and conquer strategy, and much more.",Course,2022-08-21 02:22 UTC,N/A,false,N/A,
DevOps Foundations: DevSecOps,"Security is a major concern in the DevOps world. There is a constant push for companies to move more quickly, and security teams struggle to keep up with testing. This has led to the rise of a new field: DevSecOps. This course introduces the concept of DevSecOps and explains how an organization can build out a DevSecOps program that helps teams integrate security into the application development pipeline. Learn about the role of APIs, containers, security as code, and automation, and how a continuous integration and delivery framework can help your organization run security tests as often as developers want. Instructor Tim Chase also introduces some free tools and resources for starting your DevSecOps journey.",Course,2022-08-25 04:35 UTC,N/A,false,N/A,
DJ Patil: Ask Me Anything,"DJ Patil—the former US chief data scientist—boasts a unique perspective on the future, risks, and all-around power of data. In addition to shaping policies at the White House, he's authored influential academic papers and served as head of data products at LinkedIn, where he helped to coin the term ""data scientist."" In this weekly series, DJ tackles questions posed by LinkedIn members, diving into topics ranging from data security to the future of data science. Tune in every Wednesday for a fresh set of answers.",Course,2022-08-05 15:25 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2807387,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2807387,Course,2019-12-18 09:31 UTC,N/A,false,N/A,
Machine Learning with Python: Foundations,"You’ve probably heard about machine learning before, but have you ever wondered what that term really means? How does a machine learn? Have you thought about building a machine learning model, but didn’t know where to start?
In this course, Frederick Nwanganga introduces machine learning in an approachable way and provides step-by-step guidance on how to get started with machine learning via the most in-demand language in use today, Python. Frederick starts with exactly what it means for machines to learn and the different ways they learn, then gets into how to collect, understand, and prepare data for machine learning. He also provides guided examples of how to accomplish each step using Python. Finally, he brings it all together to build, evaluate, and interpret the results of a machine learning model in Python.",Course,2022-08-23 20:43 UTC,N/A,false,N/A,
TypeScript: Object-Oriented Programming,"TypeScript boasts features that go beyond (and sometimes challenge) JavaScript approaches. But this superset of JavaScript really shines in the area of object-oriented programming (OOP). If you're familiar with JavaScript and want to incorporate OOP principles into your workflow using TypeScript, then this course is for you. Join instructor Dylan Israel as he details how and why TypeScript uses object-oriented programming models. Dylan covers a range of topics, including inheritance, polymorphism, generics, and encapsulation. Along the way, he shares challenges that allow you to put your understanding of these new concepts to the test.",Course,2022-07-28 22:16 UTC,N/A,false,N/A,
