Date,Type,Link
2022-09-11 02:49:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A6744146-6974032486989205504
2022-09-10 14:17:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6974215788538814464
2022-09-10 14:17:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A6744146-6974362300673605632
2022-09-10 14:16:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A6744146-6974322178099974144
2022-09-10 04:03:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A6744146-6974192892659589120
2022-09-09 22:37:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6974044470543589376
2022-09-09 18:13:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6974014379553898496
2022-09-08 18:34:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A6744146-6973703975376154624
2022-09-08 15:28:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6973512781857771520
2022-09-08 13:53:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6973601942140809216
2022-09-08 13:53:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6973565962486706177
2022-09-08 13:52:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6973517955569455104
2022-09-08 04:27:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A6744146-6973478692798816257
2022-09-08 02:29:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6973339555680710658
2022-09-07 23:31:43,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6973256106160574464
2022-09-07 18:41:13,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6972758178006515712
2022-09-07 14:14:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6967495000985153536
2022-09-07 03:30:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6973109200780476416
2022-09-06 14:52:11,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6972624428027314176
2022-09-04 13:48:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6971898250333155328
2022-09-03 04:48:19,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6970636100155363328
2022-09-03 04:46:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6971650830617763840
2022-09-03 00:34:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6971108604330270720
2022-09-02 02:58:01,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6970610222537089024
2022-09-02 02:57:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6971205925407789057
2022-08-30 16:16:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6968483154730868736
2022-08-30 14:14:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6970361550352060418
2022-08-30 14:14:25,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6970271276842041344
2022-08-30 01:41:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6965338402753814529
2022-08-29 20:46:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6970070770718765057
2022-08-29 20:46:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6969987290756468737
2022-08-29 20:41:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6970026129910898688
2022-08-29 18:38:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6969999597297397760
2022-08-29 15:24:33,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6969883010330484736
2022-08-29 14:13:56,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6969932030293762048
2022-08-28 16:30:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Acomment%3A%28groupPost%3A961087-6969578923235917824%2C6969684035174379520%29
2022-08-28 14:22:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6969654907142299648
2022-08-28 13:20:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6968981980050841600
2022-08-28 13:19:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6969424382548951040
2022-08-28 13:18:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6969558011287617536
2022-08-27 23:25:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6969313985548464128
2022-08-27 23:25:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6969167447526432768
2022-08-27 21:54:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6969272848351698944
2022-08-27 21:53:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6969332783408148480
2022-08-27 21:53:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6969323977357844480
2022-08-27 21:52:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6969031097334599680?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6969031097334599680%2C6969331642532253696%29
2022-08-27 14:48:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6969089572961947648
2022-08-27 13:59:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6969217577151533056
2022-08-27 13:58:22,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6969138653608480768
2022-08-27 04:11:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6968493553442279424
2022-08-27 03:57:02,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6968951446629232640
2022-08-27 03:20:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6968952428155056129
2022-08-27 00:56:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6967484798839762944
2022-08-27 00:42:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6968023976371462144
2022-08-26 21:40:22,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6968771606277980160
2022-08-25 14:37:02,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6967923518042779648?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6967923518042779648%2C6968572498804187136%29
2022-08-25 04:35:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6968289071177588736
2022-08-25 01:47:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6968328067219951616
2022-08-25 00:50:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6968354918839582720
2022-08-25 00:50:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6968340619140153344
2022-08-25 00:22:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6968239266988478464
2022-08-25 00:02:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6968294303819333632
2022-08-24 17:50:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6968195646675636224
2022-08-23 23:40:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6967832870706970624
2022-08-23 23:39:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6967856711873306625
2022-08-23 20:56:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6967467679670538242
2022-08-23 20:48:10,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6967837461158711296
2022-08-23 20:46:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6967827507907579904
2022-08-23 20:30:52,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6967923518042779648?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6967923518042779648%2C6967940098873040896%29
2022-08-23 18:05:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6967872557488181248
2022-08-23 17:17:11,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6967761599788908544
2022-08-22 18:22:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6967477803600465921
2022-08-21 02:23:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6966514265230884864
2022-08-20 05:48:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6966054550323552256
2022-08-20 05:14:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6964698391868043264
2022-08-20 05:02:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AlyndaCourse%3A3080856
2022-08-19 14:38:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963876575154950146
2022-08-18 21:47:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6966021432757600256
2022-08-18 18:17:14,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6965748452341235712
2022-08-18 17:16:54,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6965934928626692096
2022-08-17 17:30:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6965667503469453313
2022-08-17 15:53:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6965655745639903232
2022-08-16 19:38:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6965326970922442752
2022-08-16 19:38:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6965243838110031872
2022-08-16 19:38:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6965373684005945344
2022-08-16 16:53:27,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6964939056820486144
2022-08-16 16:50:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6965288586996838400
2022-08-16 16:48:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6965273981075492864
2022-08-16 01:06:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6964939138185740288
2022-08-15 20:43:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6965011730930225152
2022-08-11 21:43:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6963499063178596353
2022-08-11 19:27:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6963535809266253824
2022-08-11 19:27:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6963500897532297216
2022-08-11 19:26:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963490382768652288
2022-08-11 19:26:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963537840538316800
2022-08-11 14:31:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6962422197810327552
2022-08-11 14:28:19,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963488442471108608
2022-08-11 14:27:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963317041323790336
2022-08-11 14:04:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963441385018384384
2022-08-11 01:22:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963270868604964865
2022-08-10 19:56:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963001056234471424
2022-08-10 18:41:50,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6962791861564370944
2022-08-10 16:41:57,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6962953547126620160
2022-08-10 16:41:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6963139771724353536
2022-08-10 15:39:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963127208307548160
2022-08-10 04:26:58,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6962939634238582784
2022-08-10 02:57:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6962419716103536641
2022-08-10 00:59:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6962190200064159744
2022-08-10 00:58:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6962917672690814977
2022-08-09 22:38:28,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6954858871542718464
2022-08-09 22:38:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6961612553735045120
2022-08-09 18:55:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-6962778728321970176
2022-08-09 18:54:36,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6959127407509262336
2022-08-09 17:52:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6962716632561422336
2022-08-08 16:53:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6962268986973589504
2022-08-05 23:50:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6961403934196301824
2022-08-05 23:49:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6961035507749294081
2022-08-05 23:11:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6960999823017738240
2022-08-05 21:46:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6959571277531488256
2022-08-05 21:46:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6959870495299158016
2022-08-04 21:39:37,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6960799208945688576
2022-08-04 17:53:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6960668040275361792
2022-08-03 19:57:32,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6958248889061711872
2022-08-03 16:05:03,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6960148873944129536
2022-08-02 17:46:37,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6960090463047458816
2022-08-02 02:31:09,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6956723339725840384
2022-08-02 02:02:58,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6957385546742566912
2022-08-02 01:46:35,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6959532913759506432
2022-08-01 16:05:59,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6958887468406321152
2022-08-01 16:05:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6955989200236142592?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6955989200236142592%2C6958987815934128128%29
2022-07-29 15:53:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6958469938562908161
2022-07-29 15:11:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6958730387439165440
2022-07-29 15:11:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6958737671405871105
2022-07-29 15:09:44,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6956287018813337600
2022-07-29 02:24:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6821798811237695488
2022-07-29 02:23:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6957353607302135808
2022-07-28 22:16:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6958435434750164992
2022-07-28 22:15:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6958242609723031552
2022-07-27 01:49:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6957677941732319232
2022-07-27 01:49:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6953916217644474368
2022-07-27 01:49:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6957600223489581057
2022-07-27 01:48:14,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6955989200236142592?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6955989200236142592%2C6956832218883272704%29
2022-07-27 01:48:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6955989200236142592?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6955989200236142592%2C6956797589153345536%29
2022-07-22 22:15:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6947680810581774336
2022-07-22 22:15:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6955844483699609600
2022-07-22 22:12:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6956296554567639041
2022-07-22 03:22:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6952334042507730944
2022-07-22 03:09:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6954092763432812544
